frame,t,dt_us,accept,u0,v0,c0,u1,v1,c1
158,20.6696,3752.0,1,,,,,,
159,20.7953,3750.0,1,,,,,,
160,20.9182,6234.0,1,,,,,,
161,21.0403,6235.0,1,,,,,,
162,21.1691,6234.0,1,,,,,,
163,21.2943,3748.0,1,,,,,,
164,21.4212,6236.0,1,,,,,,
165,21.5505,6242.0,1,,,,,,
166,21.6748,3747.0,1,,,,,,
167,21.7968,6240.0,1,,,,,,
168,21.9182,6241.0,1,,,,,,
169,22.0426,3741.0,1,,,,,,
170,22.1641,3744.0,1,,,,,,
171,22.2889,6242.0,1,,,,,,
172,22.4156,6248.0,1,,,,,,
173,22.5416,3736.0,1,,,,,,
174,22.6659,6249.0,1,,,,,,
175,22.7949,3738.0,1,,,,,,
176,22.9192,3737.0,1,,,,,,
177,23.0440,6249.0,1,,,,,,
178,23.1719,6246.0,1,,,,,,
179,23.2994,3739.0,1,,,,,,
180,23.4277,6250.0,1,,,,,,
181,23.5531,6252.0,1,,,,,,
182,23.6759,6251.0,1,,,,,,
183,23.7988,3730.0,1,,,,,,
184,23.9232,6253.0,1,,,,,,
185,24.0461,3731.0,1,,,,,,
186,24.1779,3732.0,1,,,,,,
187,24.3023,6255.0,1,,,,,,
188,24.4184,6255.0,1,,,,,,
189,24.5397,6255.0,1,,,,,,
190,24.6693,6255.0,1,,,,,,
191,24.8116,3730.0,1,,,,,,
192,24.9392,3727.0,1,,,,,,
193,25.0681,3728.0,1,,,,,,
194,25.1932,6254.0,1,,,,,,
195,25.3186,6266.0,1,,,,,,
196,25.4422,3727.0,1,,,,,,
197,25.5758,3720.0,1,,,,,,
198,25.7009,6263.0,1,,,,,,
199,25.8229,3718.0,1,,,,,,
200,25.9461,3719.0,1,,,,,,
201,26.0749,6265.0,1,,,,,,
202,26.1994,6269.0,1,,,,,,
203,26.3203,3716.0,1,,,,,,
204,26.4422,3716.0,1,,,,,,
205,26.5682,3714.0,1,,,,,,
206,26.6866,3716.0,1,,,,,,
207,26.8097,3722.0,1,,,,,,
208,26.9392,3711.0,1,,,,,,
209,27.0641,3713.0,1,,,,,,
210,27.1874,6270.0,1,,,,,,
211,27.3091,6273.0,1,,,,,,
212,27.4366,6282.0,1,,,,,,
213,27.5648,3718.0,1,,,,,,
214,27.6906,6275.0,1,,,,,,
215,27.8156,6282.0,1,,,,,,
216,27.9419,3708.0,1,,,,,,
217,28.0691,6282.0,1,,,,,,
218,28.1946,3707.0,1,,,,,,
219,28.3220,3707.0,1,,,,,,
220,28.4518,3709.0,1,,,,,,
221,28.5764,6281.0,1,,,,,,
222,28.7041,3701.0,1,,,,,,
223,28.8297,3705.0,1,,,,,,
224,28.9510,6283.0,1,,,,,,
225,29.0757,3711.0,1,,,,,,
226,29.2013,3698.0,1,,,,,,
227,29.3222,6285.0,1,,,,,,
228,29.4495,3701.0,1,,,,,,
229,29.5770,6287.0,1,,,,,,
230,29.7020,3694.0,1,,,,,,
231,29.8291,3694.0,1,,,,,,
232,29.9573,6290.0,1,,,,,,
233,30.0815,6293.0,1,,,,,,
234,30.2121,6289.0,1,,,,,,
235,30.3343,3691.0,1,,,,,,
236,30.4573,3691.0,1,,,,,,
237,30.5865,6293.0,1,,,,,,
238,30.7124,6294.0,1,,,,,,
239,30.8350,3688.0,1,,,,,,
240,30.9599,6296.0,1,,,,,,
241,31.0847,3688.0,1,,,,,,
242,31.2146,6295.0,1,,,,,,
243,31.3381,6304.0,1,,,,,,
244,31.4699,6299.0,1,,,,,,
245,31.5969,3684.0,1,,,,,,
246,31.7212,6299.0,1,,,,,,
247,31.8466,3681.0,1,,,,,,
248,31.9723,3682.0,1,,,,,,
249,32.0978,3683.0,1,,,,,,
250,32.2214,6302.0,1,,,,,,
251,32.3463,6306.0,1,,,,,,
252,32.4723,3685.0,1,,,,,,
253,32.5985,6309.0,1,,,,,,
254,32.7256,3678.0,1,,,,,,
255,32.8479,6307.0,1,,,,,,
256,32.9698,3674.0,1,,,,,,
257,33.0994,3673.0,1,,,,,,
258,33.2365,3669.0,1,,,,,,
259,33.3828,3676.0,1,,,,,,
260,33.5013,6309.0,1,,,,,,
261,33.6246,6314.0,1,,,,,,
262,33.7539,3676.0,1,,,,,,
263,33.8756,6313.0,1,,,,,,
264,34.0039,3671.0,1,,,,,,
265,34.1333,3673.0,1,,,,,,
266,34.2597,3675.0,1,,,,,,
267,34.3845,6321.0,1,,,,,,
268,34.5065,3667.0,1,,,,,,
269,34.6306,3665.0,1,,,,,,
270,34.7590,6319.0,1,,,,,,
271,34.8844,6322.0,1,,,,,,
272,35.0077,3662.0,1,,,,,,
